date_time,RME_176,RMESP
1998-01-10 00:00:00+00:00,-3.0,-3.0
1998-01-10 01:00:00+00:00,-3.0,-3.0
1998-01-10 02:00:00+00:00,-3.1,-3.1
1998-01-10 03:00:00+00:00,-3.0,-3.0
1998-01-10 04:00:00+00:00,-2.9,-3.0
1998-01-10 05:00:00+00:00,-3.0,-3.0
1998-01-10 06:00:00+00:00,-3.0,-3.0
1998-01-10 07:00:00+00:00,-2.9,-2.9
1998-01-10 08:00:00+00:00,-2.6,-2.6
1998-01-10 09:00:00+00:00,-2.5,-2.5
1998-01-10 10:00:00+00:00,-2.4,-2.3
1998-01-10 11:00:00+00:00,-2.0,-1.9
1998-01-10 12:00:00+00:00,-1.6,-1.4
1998-01-10 13:00:00+00:00,-1.6,-1.4
1998-01-10 14:00:00+00:00,-1.7,-1.5
1998-01-10 15:00:00+00:00,-1.5,-1.4
1998-01-10 16:00:00+00:00,-1.5,-1.4
1998-01-10 17:00:00+00:00,-1.4,-1.3
1998-01-10 18:00:00+00:00,-1.4,-1.4
1998-01-10 19:00:00+00:00,-1.6,-1.5
1998-01-10 20:00:00+00:00,-1.6,-1.6
1998-01-10 21:00:00+00:00,-1.5,-1.5
1998-01-10 22:00:00+00:00,-1.6,-1.6
1998-01-10 23:00:00+00:00,-1.6,-1.6
1998-01-11 00:00:00+00:00,-1.7,-1.7
1998-01-11 01:00:00+00:00,-1.6,-1.6
1998-01-11 02:00:00+00:00,-1.6,-1.6
1998-01-11 03:00:00+00:00,-1.5,-1.5
1998-01-11 04:00:00+00:00,-1.6,-1.6
1998-01-11 05:00:00+00:00,-1.7,-1.7
1998-01-11 06:00:00+00:00,-1.8,-1.9
1998-01-11 07:00:00+00:00,-1.9,-1.9
1998-01-11 08:00:00+00:00,-1.8,-1.8
1998-01-11 09:00:00+00:00,-1.6,-1.5
1998-01-11 10:00:00+00:00,-1.5,-1.5
1998-01-11 11:00:00+00:00,-1.4,-1.3
1998-01-11 12:00:00+00:00,-1.2,-1.1
1998-01-11 13:00:00+00:00,-1.1,-1.0
1998-01-11 14:00:00+00:00,-1.0,-0.9
1998-01-11 15:00:00+00:00,-0.8,-0.8
1998-01-11 16:00:00+00:00,-1.5,-1.5
1998-01-11 17:00:00+00:00,-2.8,-2.8
1998-01-11 18:00:00+00:00,-3.8,-3.8
1998-01-11 19:00:00+00:00,-4.6,-4.5
1998-01-11 20:00:00+00:00,-4.8,-4.7
1998-01-11 21:00:00+00:00,-4.6,-4.6
1998-01-11 22:00:00+00:00,-5.0,-4.9
1998-01-11 23:00:00+00:00,-5.2,-5.2
1998-01-12 00:00:00+00:00,-5.2,-5.1
1998-01-12 01:00:00+00:00,-5.2,-5.2
1998-01-12 02:00:00+00:00,-5.2,-5.2
1998-01-12 03:00:00+00:00,-5.3,-5.2
1998-01-12 04:00:00+00:00,-5.4,-5.3
1998-01-12 05:00:00+00:00,-5.3,-5.3
1998-01-12 06:00:00+00:00,-5.4,-5.4
1998-01-12 07:00:00+00:00,-6.1,-6.2
1998-01-12 08:00:00+00:00,-6.3,-6.8
1998-01-12 09:00:00+00:00,-6.5,-7.3
1998-01-12 10:00:00+00:00,-5.7,-5.5
1998-01-12 11:00:00+00:00,-4.8,-4.5
1998-01-12 12:00:00+00:00,-3.7,-3.2
1998-01-12 13:00:00+00:00,-2.9,-2.5
1998-01-12 14:00:00+00:00,-1.8,-1.6
1998-01-12 15:00:00+00:00,-1.1,-1.0
1998-01-12 16:00:00+00:00,-1.0,-0.9
1998-01-12 17:00:00+00:00,-0.8,-0.8
1998-01-12 18:00:00+00:00,-0.8,-0.8
1998-01-12 19:00:00+00:00,-0.8,-0.8
1998-01-12 20:00:00+00:00,-0.6,-0.6
1998-01-12 21:00:00+00:00,-0.5,-0.5
1998-01-12 22:00:00+00:00,-0.8,-0.8
1998-01-12 23:00:00+00:00,-1.0,-1.1
1998-01-13 00:00:00+00:00,-1.7,-1.7
1998-01-13 01:00:00+00:00,-2.7,-2.7
1998-01-13 02:00:00+00:00,-3.3,-3.3
1998-01-13 03:00:00+00:00,-3.4,-3.4
1998-01-13 04:00:00+00:00,-4.0,-4.0
1998-01-13 05:00:00+00:00,-4.3,-4.3
1998-01-13 06:00:00+00:00,-4.9,-4.9
1998-01-13 07:00:00+00:00,-5.1,-5.1
1998-01-13 08:00:00+00:00,-5.2,-5.1
1998-01-13 09:00:00+00:00,-5.1,-5.1
1998-01-13 10:00:00+00:00,-5.0,-5.0
1998-01-13 11:00:00+00:00,-4.9,-4.7
1998-01-13 12:00:00+00:00,-4.6,-4.2
1998-01-13 13:00:00+00:00,-4.3,-3.8
1998-01-13 14:00:00+00:00,-3.7,-3.0
1998-01-13 15:00:00+00:00,-3.1,-2.6
1998-01-13 16:00:00+00:00,-2.9,-2.6
1998-01-13 17:00:00+00:00,-3.9,-3.6
1998-01-13 18:00:00+00:00,-4.7,-4.5
1998-01-13 19:00:00+00:00,-5.2,-5.4
1998-01-13 20:00:00+00:00,-5.5,-6.0
1998-01-13 21:00:00+00:00,-5.6,-5.7
1998-01-13 22:00:00+00:00,-5.8,-6.3
1998-01-13 23:00:00+00:00,-6.4,-6.7
1998-01-14 00:00:00+00:00,-6.1,-6.5
